시간,시가,고가,저가,종가,거래량,거래대금
"06/14,09:48","76,400","76,400","75,500","75,800","46,415","3,525,419,800"
"06/14,09:47","76,900","76,900","75,900","76,400","54,594","4,171,013,500"
"06/14,09:46","76,300","77,200","76,200","76,800","111,453","8,565,154,300"
"06/14,09:45","75,900","76,800","75,400","76,200","119,776","9,127,044,400"
"06/14,09:44","75,300","76,000","75,200","75,900","35,290","2,670,790,500"
"06/14,09:43","75,100","75,600","75,000","75,300","17,298","1,303,671,400"
"06/14,09:42","75,900","75,900","75,000","75,100","29,815","2,249,586,000"
"06/14,09:41","74,900","75,900","74,700","75,900","35,123","2,649,383,900"
"06/14,09:40","75,400","75,500","74,400","74,800","34,811","2,610,880,000"
"06/14,09:39","75,800","75,800","75,300","75,500","22,754","1,718,594,900"
"06/14,09:38","76,000","76,000","75,400","75,700","43,723","3,312,143,400"
"06/14,09:37","74,600","76,000","74,500","75,900","49,781","3,757,579,300"
"06/14,09:36","75,300","75,300","73,800","74,500","49,176","3,663,691,500"
"06/14,09:35","75,500","75,500","75,000","75,300","31,480","2,368,569,800"
"06/14,09:34","74,900","76,000","74,800","75,500","58,965","4,460,155,100"
"06/14,09:33","74,400","75,800","74,300","74,700","80,542","6,073,804,800"
"06/14,09:32","73,300","75,200","73,200","74,400","105,792","7,885,182,900"
"06/14,09:31","74,000","74,000","71,700","73,300","143,778","10,446,210,400"
"06/14,09:30","75,200","75,400","73,500","73,900","78,014","5,799,220,600"
"06/14,09:29","74,400","75,400","73,600","75,200","94,461","7,053,799,700"
"06/14,09:28","76,500","76,500","73,600","74,500","156,856","11,773,929,200"
"06/14,09:27","76,700","77,000","76,000","76,400","74,122","5,675,227,100"
"06/14,09:26","76,900","77,000","76,200","76,700","47,651","3,651,297,500"
"06/14,09:25","76,400","77,000","76,000","76,800","54,013","4,128,189,500"
"06/14,09:24","77,100","77,900","75,600","76,400","127,989","9,825,629,800"
"06/14,09:23","76,600","77,700","76,600","77,000","94,769","7,321,478,900"
"06/14,09:22","76,900","77,000","76,000","76,600","89,267","6,822,155,400"
"06/14,09:21","76,600","77,500","76,300","77,000","99,224","7,636,290,400"
"06/14,09:20","75,000","77,000","75,000","76,600","108,002","8,263,648,200"
"06/14,09:19","80,700","80,800","73,100","75,100","397,263","30,414,562,000"
"06/14,09:18","78,700","82,200","78,600","80,700","304,939","24,492,811,400"
"06/14,09:17","77,400","79,400","77,300","78,600","123,611","9,719,395,300"
"06/14,09:16","78,100","79,100","77,000","77,400","162,814","12,730,994,800"
"06/14,09:15","79,300","79,400","76,400","78,100","219,182","17,062,287,600"
"06/14,09:14","79,400","80,000","78,500","79,300","255,181","20,252,252,500"
"06/14,09:13","77,900","79,800","77,200","79,400","305,256","24,035,309,200"
"06/14,09:12","72,200","78,100","72,000","78,000","520,920","39,624,274,000"
"06/14,09:11","71,500","72,400","71,100","72,200","125,055","8,988,314,700"
"06/14,09:10","71,800","72,100","70,400","71,500","139,159","9,909,499,400"
"06/14,09:09","72,000","72,100","71,000","71,900","99,884","7,154,140,800"
"06/14,09:08","72,400","72,700","71,300","71,900","134,054","9,644,361,900"
"06/14,09:07","70,400","73,000","70,200","72,400","322,243","23,246,700,400"
"06/14,09:06","71,400","71,500","69,700","70,300","187,640","13,174,517,200"
"06/14,09:05","72,300","72,400","69,800","71,400","255,210","18,063,968,800"
"06/14,09:04","72,000","73,300","70,800","72,300","243,635","17,578,750,500"
"06/14,09:03","71,800","73,000","69,500","72,000","359,043","25,477,589,100"
"06/14,09:02","70,200","73,000","68,400","71,600","448,488","31,944,238,400"
"06/14,09:01","68,700","73,300","68,200","70,000","834,603","59,117,206,000"
"06/14,09:00","60,600","69,000","60,600","68,700","1,379,848","86,499,159,900"
