순위,전일,종목코드,종목명,현재가,전일대비,,등락률,매도호가,매수호가,거래량,전일거래량,거래대금
35,46,010120,LS ELECTRIC,"194,500",▼,"-7,000",-3.47,"194,600","194,500","652,823","480,657","128,625"
36,36,035420,NAVER,"167,900",▲,"1,100",0.66,"167,900","167,800","770,355","663,328","128,268"
37,75,001440,대한전선,"15,700",▼,-90,-0.57,"15,710","15,700","7,585,569","4,081,064","122,412"
38,178,147830,제룡산업,"7,390",▲,510,7.41,"7,390","7,380","14,954,351","3,772,727","118,692"
39,19,064350,현대로템,"40,900",▲,700,1.74,"40,950","40,900","2,868,896","4,722,005","116,619"
40,363,091120,이엠텍,"37,750",▲,"7,300",23.97,"37,750","37,700","3,101,193","344,240","115,211"
41,7,272210,한화시스템,"20,700",▼,"-1,000",-4.61,"20,750","20,700","5,272,620","20,346,356","111,253"
42,66,051910,LG화학,"359,500",▲,"8,000",2.28,"359,500","359,000","305,989","208,142","109,070"
43,112,454910,두산로보틱스,"78,700",▼,"-6,200",-7.3,"78,800","78,700","1,320,367","501,587","106,308"
44,85,002720,국제약품,"5,770",▲,10,0.17,"5,770","5,760","16,957,533","9,330,688","103,760"
45,73,003670,포스코퓨처엠,"267,500",▲,"9,000",3.48,"268,000","267,500","387,755","263,228","102,567"
46,32,278470,에이피알,"376,000",▼,"-13,500",-3.47,"376,000","375,500","267,807","298,332","101,663"
47,125,317330,덕산테코피아,"61,200",▲,"7,100",13.12,"61,200","61,100","1,675,200","721,647","100,131"
48,108,259960,크래프톤,"290,000",▲,"13,500",4.88,"290,000","289,500","345,192","160,880","100,126"
49,62,012330,현대모비스,"242,000",▲,"6,500",2.76,"242,000","241,500","401,975","323,533","97,188"
50,42,462510,라메디텍,"22,750",▲,50,0.22,"22,750","22,700","3,906,450","4,547,521","90,817"
51,92,051980,중앙첨단소재,"13,120",▼,-430,-3.17,"13,120","13,110","6,559,982","4,002,534","89,689"
52,16,004090,한국석유,"19,500",▼,-360,-1.81,"19,510","19,500","4,505,287","11,790,083","89,524"
53,60,086280,현대글로비스,"214,000",▲,"11,500",5.68,"214,500","214,000","419,742","393,223","88,974"
54,84,271560,오리온,"95,300",▼,"-5,600",-5.55,"95,400","95,300","916,504","568,723","88,457"
55,353,126700,하이비젼시스템,"27,150",▲,900,3.43,"27,200","27,150","3,049,796","428,950","86,113"
56,538,198440,고려시멘트,"2,530",▲,490,24.02,"2,535","2,530","34,472,475","2,612,983","85,165"
57,55,068270,셀트리온,"183,400",▲,"4,300",2.4,"183,500","183,400","464,614","456,842","84,619"
58,116,109670,씨싸이트,"31,700",▲,"4,650",17.19,"31,700","31,650","2,662,103","1,481,208","83,138"
59,135,403870,HPSP,"41,150",▲,"2,700",7.02,"41,150","41,100","2,071,670","906,690","83,059"
60,121,009540,HD한국조선해양,"145,700",▲,"7,100",5.12,"145,800","145,700","569,312","278,955","82,542"
61,91,402340,SK스퀘어,"98,500",▲,"5,100",5.46,"98,500","98,300","816,847","577,873","80,084"
